Year,Rank,Character
2025,1,ポムポムプリン
2025,2,シナモロール
2025,3,ポチャッコ
2025,4,クロミ
2025,5,ハローキティ
2025,6,マイメロディ
2025,7,リトルツインスターズ
2025,8,ハンギョドン
2025,9,タキシードサム
2025,10,あひるのペックル
2024,1,シナモロール
2024,2,ポチャッコ
2024,3,クロミ
2024,4,ポムポムプリン
2024,5,ハローキティ
2024,6,マイメロディ
2024,7,けろけろけろっぴ
2024,8,ハンギョドン
2024,9,タキシードサム
2024,10,リトルツインスターズ
2023,1,シナモロール
2023,2,ポムポムプリン
2023,3,クロミ
2023,4,ポチャッコ
2023,5,ハローキティ
2023,6,マイメロディ
2023,7,ハンギョドン
2023,8,リトルツインスターズ
2023,9,タキシードサム
2023,10,バッドばつ丸
2022,1,シナモロール
2022,2,ポムポムプリン
2022,3,クロミ
2022,4,ポチャッコ
2022,5,マイメロディ
2022,6,ハローキティ
2022,7,リトルツインスターズ
2022,8,ハンギョドン
2022,9,こぎみゅん
2022,10,タキシードサム
2021,1,シナモロール
2021,2,ポムポムプリン
2021,3,ポチャッコ
2021,4,マイメロディ
2021,5,クロミ
2021,6,ハローキティ
2021,7,リトルツインスターズ
2021,8,SHOW BY ROCK!!
2021,9,タキシードサム
2021,10,こぎみゅん
